lambda_NIO,lambda_ann_pct,N,T,T/N,trial,t_oracle,t_ols,t_lasso
0.001,3.1749015732775088,50,100,2.0,0,0.8776380084631774,,-3.497100800869136
0.001,3.1749015732775088,50,100,2.0,1,1.0527563960005593,,-1.379391247504774
0.001,3.1749015732775088,50,100,2.0,2,3.2448606487755196,,-0.7023935410215264
0.001,3.1749015732775088,50,100,2.0,3,0.5994203734957084,,-0.32729038355170664
0.001,3.1749015732775088,50,100,2.0,4,1.0456729847829764,,2.369390763340698
0.001,3.1749015732775088,50,100,2.0,5,3.9948141144336744,,-1.8743203586764499
0.001,3.1749015732775088,50,100,2.0,6,0.48089685320205333,,1.364179140909869
0.001,3.1749015732775088,50,100,2.0,7,5.369536040707618,,0.13617435030376754
0.001,3.1749015732775088,50,100,2.0,8,0.7768668254399551,,-4.318980469267266
0.001,3.1749015732775088,50,100,2.0,9,3.0833485004741683,,0.4361954841603864
0.001,3.1749015732775088,50,100,2.0,10,0.5717751679366289,,-2.823029271294384
0.001,3.1749015732775088,50,100,2.0,11,0.031193181094608547,,1.118572779528551
0.001,3.1749015732775088,50,100,2.0,12,0.9979061061142502,,-4.729965892943501
0.001,3.1749015732775088,50,100,2.0,13,1.9635872049839218,,2.6074398252260185
0.001,3.1749015732775088,50,100,2.0,14,1.2875671317759287,,2.3523823686419614
0.001,3.1749015732775088,50,100,2.0,15,2.2188496439543473,,0.43841452645923346
0.001,3.1749015732775088,50,100,2.0,16,2.397257965583249,,-1.0983148901355484
0.001,3.1749015732775088,50,100,2.0,17,-0.3103457113177037,,3.0349250951244553
0.001,3.1749015732775088,50,100,2.0,18,0.7619618677108423,,-4.018325763235833
0.001,3.1749015732775088,50,100,2.0,19,2.6653535386456007,,2.1651339131727374
0.001,3.1749015732775088,50,100,2.0,20,1.1558741275185518,,-1.5357465953548086
0.001,3.1749015732775088,50,100,2.0,21,1.040078420539858,,-1.1873929019687572
0.001,3.1749015732775088,50,100,2.0,22,2.7119990722888154,,2.0432640608589123
0.001,3.1749015732775088,50,100,2.0,23,1.1001679398079351,,-0.2601202623969966
0.001,3.1749015732775088,50,100,2.0,24,0.29698068222737894,,-1.4513739473416858
0.001,3.1749015732775088,50,100,2.0,25,3.1392110121727197,,0.09561268076291167
0.001,3.1749015732775088,50,100,2.0,26,0.07211613540626154,,-4.068333116968474
0.001,3.1749015732775088,50,100,2.0,27,4.121691493443913,,0.9103331542264803
0.001,3.1749015732775088,50,100,2.0,28,2.230886144021758,,-1.7454821731499608
0.001,3.1749015732775088,50,100,2.0,29,1.9717274865995558,,-1.5512444013552389
0.001,3.1749015732775088,50,100,2.0,30,2.4091002318288006,,1.4588264236627773
0.001,3.1749015732775088,50,100,2.0,31,2.066752402580587,,0.48971483712827213
0.001,3.1749015732775088,50,100,2.0,32,2.4303558375683703,,0.4994076717861139
0.001,3.1749015732775088,50,100,2.0,33,1.3959776308686567,,3.9400087013706693
0.001,3.1749015732775088,50,100,2.0,34,1.3391269506120105,,1.4218684071450725
0.001,3.1749015732775088,50,100,2.0,35,0.3509769301859992,,-1.5366998248926815
0.001,3.1749015732775088,50,100,2.0,36,3.238997897666532,,1.0407973139544213
0.001,3.1749015732775088,50,100,2.0,37,2.7381890257510073,,-0.6184276684539783
0.001,3.1749015732775088,50,100,2.0,38,3.358137656679955,,0.7521275955964926
0.001,3.1749015732775088,50,100,2.0,39,1.261091949956234,,-2.228321195033961
0.001,3.1749015732775088,50,100,2.0,40,2.7013774318033623,,1.0842494168308012
0.001,3.1749015732775088,50,100,2.0,41,2.1611886545933836,,1.0338719290433702
0.001,3.1749015732775088,50,100,2.0,42,0.35933887682019067,,-0.6544345097242806
0.001,3.1749015732775088,50,100,2.0,43,2.813355846023876,,-0.6235433747977078
0.001,3.1749015732775088,50,100,2.0,44,0.1930313258876167,,-3.9176674069017654
0.001,3.1749015732775088,50,100,2.0,45,2.524743315268974,,0.3735990491950627
0.001,3.1749015732775088,50,100,2.0,46,1.098642982646589,,1.0093716333072813
0.001,3.1749015732775088,50,100,2.0,47,1.5516434162848083,,-0.23121482304767838
0.001,3.1749015732775088,50,100,2.0,48,0.972061820214623,,3.239428679443944
0.001,3.1749015732775088,50,100,2.0,49,3.3774754711187365,,-0.8075206145943823
0.001,3.1749015732775088,50,250,5.0,0,1.498680010185987,,-0.8722473070541378
0.001,3.1749015732775088,50,250,5.0,1,1.284530583443183,,0.31044374655324797
0.001,3.1749015732775088,50,250,5.0,2,1.050831298747824,,0.0015968188204255386
0.001,3.1749015732775088,50,250,5.0,3,1.4918437668054323,,-0.8079722422976118
0.001,3.1749015732775088,50,250,5.0,4,0.6735364365998942,,3.3912103361056514
0.001,3.1749015732775088,50,250,5.0,5,0.5636093533765943,,-1.3268825456422477
0.001,3.1749015732775088,50,250,5.0,6,1.8890260702588377,,2.71295332390046
0.001,3.1749015732775088,50,250,5.0,7,1.4488688363933444,,3.2474427553833816
0.001,3.1749015732775088,50,250,5.0,8,0.30001121725333585,,3.112039166516572
0.001,3.1749015732775088,50,250,5.0,9,1.7821002451191352,,2.101485238382138
0.001,3.1749015732775088,50,250,5.0,10,1.8172422494075968,,-1.3214366150464008
0.001,3.1749015732775088,50,250,5.0,11,0.5168494074396593,,2.166409362034153
0.001,3.1749015732775088,50,250,5.0,12,0.5252852723384877,,-1.2217771528628179
0.001,3.1749015732775088,50,250,5.0,13,1.909755887860603,,0.44766493587921796
0.001,3.1749015732775088,50,250,5.0,14,-0.5856877940056541,,-1.7606599602831279
0.001,3.1749015732775088,50,250,5.0,15,0.7705471368953883,,-1.7663127080984715
0.001,3.1749015732775088,50,250,5.0,16,2.2506931198404048,,1.6803801503097366
0.001,3.1749015732775088,50,250,5.0,17,1.3802330015858106,,-0.350148976948653
0.001,3.1749015732775088,50,250,5.0,18,2.8127494878854855,,2.776918592599638
