N,T,T_N,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hub_recovery_mean,hub_recovery_std,kendall_tau_mean,kendall_tau_std,n_trials,dgp,preprocessing,method
30,30,1.0,0.059220602350966364,0.014780039603602598,0.28577777777777774,0.07138973194487072,0.09811012459307937,0.024489647015689835,0.16400000000000003,0.16823792675850474,-0.001544835644322557,0.164943144033058,100,garch_factor,estimated_fn,ols
30,60,2.0,0.07020800744091658,0.012418643343164582,0.33977777777777773,0.06014755518773584,0.1163704176704496,0.02058657538256243,0.184,0.1566652482205291,0.044895803508616654,0.1441397160562924,100,garch_factor,estimated_fn,ols
30,100,3.3333333333333335,0.0797941064558407,0.014220585432039972,0.3864444444444445,0.06884550605307295,0.13227556381156935,0.023572075367704032,0.16799999999999998,0.1713942822850284,0.0396539406001932,0.1513762644893426,100,garch_factor,estimated_fn,ols
30,250,8.333333333333334,0.1086697247706422,0.014788794475897368,0.5264444444444444,0.07164349323879168,0.18015209125475287,0.02451678475852187,0.20999999999999996,0.15066519173319365,0.07165824442531982,0.13615563361603278,100,garch_factor,estimated_fn,ols
50,50,1.0,0.0688050603426057,0.007806033071530134,0.33688,0.038264678229406296,0.11427113366410387,0.012966762217090493,0.11199999999999999,0.1274990196040738,-0.0003322417751712504,0.11499528872208992,100,garch_factor,estimated_fn,ols
50,120,2.4,0.09182622695625288,0.009072071127279854,0.4502400000000001,0.044456972456522505,0.152541652417881,0.01506905469020292,0.158,0.17503142574977787,0.08618715290202447,0.1095646383633929,100,garch_factor,estimated_fn,ols
50,250,5.0,0.11060358890701469,0.009193476543951301,0.5424,0.04508480897153718,0.183739837398374,0.015272631765425879,0.13399999999999998,0.17217433025860734,0.08156481768930746,0.12058520515223052,100,garch_factor,estimated_fn,ols
50,500,10.0,0.11763458401305056,0.010063798573489217,0.5768799999999998,0.04935286820439111,0.19542005420054204,0.016718451288750387,0.154,0.14927826365549676,0.11745647949425382,0.11742503269483598,100,garch_factor,estimated_fn,ols
100,100,1.0,0.08725546357071781,0.004341174062843879,0.43186,0.02147790492576034,0.14517827704905417,0.007222505765679798,0.07400000000000001,0.11191067866830226,0.06395333283101885,0.06864578018900563,100,garch_factor,estimated_fn,ols
100,60,0.6,0.07399781013196169,0.0034428599721459414,0.36601999999999996,0.01703524581566113,0.12310718943980942,0.0057280410166547675,0.066,0.1097451593465516,0.048350776677530495,0.08627783467174116,100,garch_factor,estimated_fn,ols
100,250,2.5,0.10917171717171721,0.005709992994563075,0.5404,0.028264465323087216,0.1816470588235294,0.009500660612802426,0.08399999999999999,0.11723480711802277,0.07175565984289321,0.07403221531135289,100,garch_factor,estimated_fn,ols
100,500,5.0,0.11049696969696969,0.010129330802973598,0.54696,0.05014018747471931,0.18385210084033615,0.016853844529317413,0.086,0.13343163043296744,0.07879678821128892,0.07886011497712143,100,garch_factor,estimated_fn,ols
100,1000,10.0,0.10140606060606061,0.011376586829313515,0.50196,0.0563141048051019,0.16872605042016806,0.018929110858857782,0.05000000000000001,0.09949874371066199,0.01008566561276619,0.08682678494462655,100,garch_factor,estimated_fn,ols
