N,T,T_N,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,hub_recovery_mean,hub_recovery_std,kendall_tau_mean,kendall_tau_std,n_trials,dgp,preprocessing,method
30,30,1.0,0.06496857166272055,0.013892302109993558,0.3133333333333333,0.06721992649890744,0.10762195573070159,0.0230256048505746,0.16599999999999998,0.16261611236282827,-0.0016403777686985672,0.1575224866537884,100,garch_factor,oracle_fn,ols
30,60,2.0,0.08050902633915358,0.013578813006854736,0.38955555555555565,0.06580592490867687,0.13344004876208168,0.022512075854017672,0.19199999999999995,0.17417232845661795,0.05187701706949059,0.14406062078512882,100,garch_factor,oracle_fn,ols
30,100,3.3333333333333335,0.09208366803365324,0.014405501460324491,0.446,0.0697972372016805,0.15265027718921428,0.02388192275074517,0.206,0.15863164879682745,0.09445950064037203,0.17272484211598504,100,garch_factor,oracle_fn,ols
30,250,8.333333333333334,0.12293577981651377,0.01661538557456407,0.5955555555555555,0.08049231233899927,0.20380228136882128,0.02754489775859291,0.21999999999999997,0.1685229954635272,0.14636469675353195,0.13193052008686854,100,garch_factor,oracle_fn,ols
50,50,1.0,0.07571569840787198,0.00867896165535677,0.37071999999999994,0.042531418974682704,0.12574854368780858,0.014416074519040298,0.114,0.13039938650162433,0.016705115691388602,0.11482439145868177,100,garch_factor,oracle_fn,ols
50,120,2.4,0.09894041412105899,0.009318335591018134,0.48512,0.04564236628396911,0.16435961360970464,0.015476876146766868,0.12599999999999997,0.14602739469017448,0.08938771511297493,0.10108342186933324,100,garch_factor,oracle_fn,ols
50,250,5.0,0.11610114192495921,0.0091209831480999,0.56936,0.0447293013582819,0.19287262872628727,0.015152202357141573,0.13799999999999998,0.14613692209705254,0.15853277280438297,0.10474554024519668,100,garch_factor,oracle_fn,ols
50,500,10.0,0.12419249592169654,0.00871698218977736,0.6090399999999999,0.042748080658668176,0.2063143631436314,0.014481057133695184,0.162,0.17365483005087995,0.19153859469697143,0.1258018102926966,100,garch_factor,oracle_fn,ols
100,100,1.0,0.09221931942842958,0.0038554998067392215,0.4563999999999999,0.019062004091910164,0.1534357088695359,0.00641373639338947,0.078,0.10916043239196152,0.06967760360867145,0.07481955991763377,100,garch_factor,oracle_fn,ols
100,60,0.6,0.07864777083163774,0.004115516500185388,0.38898000000000005,0.02036957535148929,0.1308408578397658,0.006847517963831992,0.066,0.10603772913449251,0.03819755866282677,0.06378988958203696,100,garch_factor,oracle_fn,ols
100,250,2.5,0.11094545454545456,0.006045798746351011,0.5491800000000001,0.029926703794437483,0.1845983193277311,0.010059396233424372,0.09199999999999997,0.1309045453756286,0.14140348664217167,0.07341462401899469,100,garch_factor,oracle_fn,ols
100,500,5.0,0.11406464646464647,0.008919267647847631,0.56462,0.04415037485684577,0.18978823529411767,0.014840462136754882,0.08199999999999999,0.12359611644384302,0.13897018515122977,0.08175161178520846,100,garch_factor,oracle_fn,ols
100,1000,10.0,0.10779393939393937,0.009997742016272291,0.53358,0.04948882298054783,0.1793546218487395,0.016634898480856416,0.05600000000000001,0.1022936948203554,0.05261181647598386,0.08662289894083978,100,garch_factor,oracle_fn,ols
